freq,mot,pos
8851,attendre,verbe
8768,sortir,verbe
8744,ami,subst
8686,trop,adv
8649,porte,subst
8574,lequel,pron
8419,chaque,dét
8283,amour,subst
8202,pendant,prép
8170,déjà,adv
8040,pied,subst
7960,tant,adv
7944,gens,subst
7824,parceque,conj
7795,nom,subst
7625,vivre,verbe
7544,reprendre,verbe
7614,entrer,verbe
7499,porter,verbe
7451,pays,subst
7433,ciel,subst
7425,avant,prép
7415,frère,subst
7399,regard,subst
7304,chercher,verbe
7255,âme,subst
7245,côté,subst
7182,mort,subst
7114,revenir,verbe
7038,noir,adj
7024,maintenant,adv
7019,nouveau,adj
6983,ville,subst
6923,rue,subst
7126,enfin,adv
6892,appeler,verbe
6877,soir,subst
6835,chambre,subst
6785,mourir,verbe
6751,pas,subst
6726,partir,verbe
6723,cinq,numér
7031,esprit,subst
6692,soleil,subst
6650,dernier,adj
6610,jeter,verbe
6609,dix,numér
6588,roi,subst
6489,état,subst
6425,corps,subst
6399,beaucoup,adv
6397,suivre,verbe
6304,bras,subst
6256,écrire,verbe
6246,blanc,adj
6195,montrer,verbe
6182,tomber,verbe
6178,place,subst
6169,ouvrir,verbe
6138,ah,interj
6102,parti,subst
6090,assez,adv
6078,leur,pron
6059,cher,adj
6054,voilà,prép
6004,année,subst
5996,loin,adv
5961,point,adv
5954,visage,subst
5946,bruit,subst
5946,lettre,subst
5922,franc,subst
5861,fond,subst
5835,force,subst
5812,arrêter,verbe
5786,perdre,verbe
5783,commencer,verbe
5779,paraître,verbe
5774,aucun,dét
5747,marcher,verbe
5706,milieu,subst
5702,saint,subst
5686,idée,subst
5662,presque,adv
5629,ailleurs,adv
5623,travail,subst
5622,lumière,subst
5562,long,adj
5544,seulement,adv
5527,mois,subst
5520,fils,subst
5508,neuf,numér
5505,tel,dét
5494,lever,verbe
5481,raison,subst
5829,effet,subst
5470,gouvernement,subst
5467,permettre,verbe
5434,pauvre,adj
5417,asseoir,verbe
5416,point,subst
5413,plein,adj
5391,personne,subst
5385,vrai,adj
5349,peuple,subst
5343,fait,subst
5295,parole,subst
5273,guerre,subst
5258,toute,adj
5216,écouter,verbe
5214,pensée,subst
5179,affaire,subst
5152,quoi,pron
5145,matin,subst
5127,pierre,subst
5088,monter,verbe
5087,bas,adj
5002,vent,subst
4977,doute,subst
4969,front,subst
4939,ombre,subst
4932,part,subst
4916,maître,subst
4915,aujourd'hui,adv
4908,besoin,subst
4908,question,subst
4904,apercevoir,verbe
4891,recevoir,verbe
4881,mieux,adv
4859,peine,subst
4836,tour,subst
4806,servir,verbe
4766,oh,interj
4764,autour,adv
4731,près,prép
4709,finir,verbe
4705,famille,subst
4700,pourquoi,conj
4665,souvent,adv
4662,rire,verbe
4657,dessus,adv
4653,madame,subst
4635,sorte,subst
4618,figure,subst
4595,droit,subst
4574,peur,subst
4571,bout,subst
4554,lieu,subst
4541,silence,subst
4537,gros,adj
4503,chef,subst
4584,eh,interj
4463,six,numér
4460,bois,subst
4457,mari,subst
4451,histoire,subst
4449,crier,verbe
4447,jouer,verbe
4429,feu,subst
4371,tourner,verbe
4355,doux,adj
4355,longtemps,adv
4350,fort,adv
4332,heureux,adj
4324,comme,adv
4272,garder,verbe
4271,partie,subst
4236,face,subst
4231,mouvement,subst
4217,fin,subst
4198,reconnaître,verb
4180,quitter,verbe
4164,personne,pron
4163,comment,adv
4155,route,subst
4141,dès,prép
4127,manger,verbe
4097,livre,subst
4070,arbre,subst
4059,courir,verbe
4058,cas,subst
4052,huit,numér
4041,lorsque,conj
4034,mur,subst
4028,ordre,subst
4022,continuer,verbe
3978,bonheur,subst
3965,oublier,verbe
3955,descendre,verbe
3953,haut,adj
3922,intérêt,subst
3920,cacher,verbe
3910,l'un,pron
3890,chacun,pron
3878,profond,adj
3876,argent,subst
3856,cause,subst
3841,poser,verbe
3834,autant,adv
3994,est,subst
3825,travers,subst
3809,grand,subst
3807,instant,subst
3784,façon,subst
3783,d'abord,adv
3783,oeil,subst
3778,tirer,verbe
3763,forme,subst
3757,présenter,verbe
3755,ajouter,verbe
3753,agir,verbe
3717,retrouver,verbe
3711,chemin,subst
3704,cheveu,subst
3671,offrir,verbe
3669,surtout,adv
3667,certain,dét
3656,plaisir,subst
3639,suite,subst
3616,apprendre,verbe
3612,malgré,prép
3598,tuer,verbe
3576,rouge,adj
3571,sang,subst
3559,retourner,verbe
3556,rencontrer,verbe
3548,sentiment,subst
3516,fleur,subst
3508,cependant,adv
3498,service,subst
3480,plusieurs,dét
3472,table,subst
3465,vite,adv
3446,paix,subst
3482,envoyer,verbe
3444,moyen,subst
3438,dormir,verbe
3422,pousser,verbe
3410,lit,subst
3393,humain,adj
3387,voiture,subst
3362,rappeler,verbe
3345,être,subst
3340,lire,verbe
3337,général,adj
3335,nature,subst
3326,or,subst
3309,pouvoir,subst
3307,nouveau,subst
3299,français,adj
3292,joie,subst
3289,sept,numér
3281,tard,adv
3272,président,subst
3271,pourtant,adv
3266,bouche,subst
3258,changer,verbe
3256,petit,subst
3250,froid,adj
3248,compter,verbe
3245,occuper,verbe
3245,sens,subst
3240,cri,subst
3237,cheval,subst
3236,loi,subst
3234,sombre,adj
3223,ci,adv
3211,sûr,adj
3238,espèce,subst
3191,voici,prép
3190,ancien,adj
3189,tandisque,conj
3161,frapper,verbe
3145,ministre,subst
3139,puisque,conj
3134,selon,prép
3133,travailler,verbe
3238,expliquer,verbe
3125,propre,adj
3124,obtenir,verbe
3099,rentrer,verbe
3097,mal,adv
3096,pleurer,verbe
3254,essayer,verbe
3079,répéter,verbe
3079,société,subst
3076,parfois,adv
3071,politique,subst
3063,oreille,subst
3056,payer,verbe
3054,politique,adj
3053,apporter,verbe
3046,fenêtre,subst
3019,derrière,prép
3013,possible,adj
3010,fortune,subst
3002,compte,subst
2979,champ,subst
2961,manier,subst
2960,vraiment,adv
2948,immense,adj
2942,action,subst
2937,boire,verbe
2929,public,adj
2914,garçon,subst
2914,pareil,adj
2906,bleu,adj
2904,sourire,verbe
2890,couleur,subst
2889,coucher,verbe
2875,papier,subst
2865,d'autres,dét
2861,mal,subst
2851,fort,adj
2839,bientôt,adv
2825,causer,verbe
2820,pièce,subst
2818,montagne,subst
2812,sol,subst
2811,œuvre,subst
2810,partout,adv
2809,trente,numér
2944,exister,verbe
2797,cours,subst
2794,raconter,verbe
2792,serrer,verbe
2792,songer,verbe
2790,désir,subst
2787,manquer,verbe
2776,cour,subst
2754,nommer,verbe
2753,bord,subst
2749,douleur,subst
2735,conduire,verbe
2732,salle,subst
2729,saisir,verbe
2722,premier,subst
2721,comment,conj
2715,projet,subst
2709,demeurer,verbe
2704,simple,adj
2701,étude,subst
2700,remettre,verbe
2699,journal,subst
2697,geste,subst
2689,disparaître,verb
2678,battre,verbe
2670,toucher,verbe
2664,situation,subst
2661,oiseau,subst
2654,nécessaire,adj
2906,exemple,subst
2647,siècle,subst
2645,apparaître,verbe
2635,souffrir,verbe
2633,million,subst
2616,prix,subst
2612,groupe,subst
2610,centre,subst
2603,malheur,subst
2602,honneur,subst
2590,fermer,verbe
2585,accepter,verbe
2575,garde,subst
2570,mauvais,adj
2569,tendre,verbe
2555,naître,verbe
2554,sauver,verbe
2717,entier,adj
2547,parmi,prép
2547,problème,subst
2546,larme,subst
2544,avancer,verbe
2539,chien,subst
2534,peau,subst
2530,reste,subst
2522,traverser,verbe
2517,nombre,subst
2515,debout,adv
2514,mesure,subst
2510,social,adj
2508,souvenir,verbe
2507,article,subst
2502,vue,subst
2491,couvrir,verbe
2490,âge,subst
2485,gagner,verbe
2483,système,subst
2482,long,subst
2481,former,verbe
2477,plaire,verbe
2458,embrasser,verbe
2455,rêve,subst
2454,oser,verbe
2452,afinde,prép
2448,passion,subst
2440,auquel,pron
2426,rapport,subst
2420,refuser,verbe
2416,important,adj
2415,décider,verbe
2401,produire,verbe
2398,soldat,subst
2397,lèvre,subst
2397,signe,subst
2390,vérité,subst
2389,charger,verbe
2386,mariage,subst
2385,mêler,verbe
2380,certain,adj
2365,plan,subst
2349,cesser,verbe
2349,ressembler,verbe
2348,dos,subst
2341,marche,subst
2334,souvenir,subst
2333,dame,subst
2332,chanter,verbe
2328,plutôt,adv
2318,conseil,subst
2314,sou,subst
2307,triste,adj
2306,coin,subst
2303,jardin,subst
2301,joli,adj
2297,soit,conj
2427,empêcher,verbe
2289,doigt,subst
2288,objet,subst
2284,fer,subst
2281,lendemain,subst
2281,lentement,adv
2280,combien,adv
2272,approcher,verbe
2265,prier,verbe
2259,train,subst
2371,espérer,verbe
2256,papa,subst
2254,différent,adj
2252,valeur,subst
2247,jeu,subst
2240,échapper,verbe
2239,glisser,verbe
2234,secret,subst
2233,haut,subst
2226,vieillard,subst
2225,briller,verbe
2222,docteur,subst
2218,brûler,verbe
2218,terrible,adj
2214,placer,verbe
2213,ton,subst
2204,jambe,subst
2202,juger,verbe
2201,suffire,verbe
2194,endroit,subst
2192,minute,subst
2190,atteindre,verbe
2190,nuage,subst
2187,présence,subst
2165,fou,adj
2163,épaule,subst
2158,léger,adj
2155,feuille,subst
2155,liberté,subst
2149,journée,subst
2147,libre,adj
2146,annoncer,verbe
2143,avenir,subst
2142,sourire,subst
2141,hier,adv
2136,résultat,subst
2135,élever,verbe
2134,acheter,verbe
2133,mener,verbe
2133,préparer,verbe
2131,pourquoi,adv
2125,hôtel,subst
2124,semaine,subst
2122,forêt,subst
2118,assurer,verbe
2118,pur,adj
2116,qualité,subst
2108,prince,subst
2101,bien,subst
2100,également,adv
2095,deviner,verbe
2093,médecin,subst
2092,considérer,verbe
2087,volonté,subst
2086,seigneur,subst
2468,effort,subst
2083,quelque,adv
2081,vert,adj
2077,art,subst
2077,moindre,adj
2076,demain,adv
2073,quarante,numér
2072,cinquante,numér
2070,foule,subst
2069,appartenir,verbe
2068,aussitôt,adv
2068,ligne,subst
2067,représenter,verb
2065,tromper,verbe
2061,intérieur,subst
2056,vendre,verbe
2054,beauté,subst
2048,riche,adj
2047,craindre,verbe
2046,étrange,adj
2035,emporter,verbe
2032,ensuite,adv
2025,soin,subst
2020,naturel,adj
2017,hasard,subst
2013,puis,adv
2006,condition,subst
2000,quinze,numér
1997,classe,subst
1996,voyage,subst
1955,auprès,prép
1955,présent,subst
1953,caractère,subst
1952,attention,subst
1952,gris,adj
1940,or,conj
1939,rouler,verbe
1934,faible,adj
1931,posséder,verbe
1925,scène,subst
1921,difficile,adj
1921,français,subst
1921,réveiller,verbe
1920,foi,subst
1918,aider,verbe
1918,découvrir,verbe
1913,odeur,subst
1912,choisir,verbe
1912,musique,subst
1909,oncle,subst
1906,événement,subst
1905,prononcer,verbe
1905,village,subst
1904,taire,verbe
1903,envie,subst
1902,midi,subst
1953,ensemble,adv
1990,expression,subst
1896,herbe,subst
1896,vieux,subst
1895,pluie,subst
1894,près,adv
1892,bas,subst
1886,rêver,verbe
1884,appuyer,verbe
1884,étendre,verbe
1882,après,adv
1882,général,subst
1880,lutte,subst
1880,trembler,verbe
1877,réponse,subst
1873,grâce,subst
1872,espace,subst
1866,habitude,subst
1864,défendre,verbe
1861,mémoire,subst
1856,créer,verbe
1856,grave,adj
1853,maintenir,verbe
1845,verre,subst
1840,campagne,subst
1838,quelqu'un,pron
1832,juge,subst
1827,genou,subst
1818,impossible,adj
1816,fête,subst
1814,indiquer,verbe
1813,prêt,adj
1812,promettre,verbe
1810,relever,verbe
1809,abandonner,verbe
1797,ignorer,verbe
1792,large,adj
1792,parent,subst
1790,colère,subst
1951,exprimer,verbe
1788,étoile,subst
1787,devoir,subst
1784,conscience,subst
1861,existence,subst
1769,accompagner,verb
1769,immobile,adj
1763,adresser,verbe
1757,observer,verbe
1756,juste,adj
1756,puissance,subst
1755,matière,subst
1754,sable,subst
1753,séparer,verbe
1752,marier,verbe
1751,prévoir,verbe
1751,vivant,adj
1746,accord,subst
1745,hiver,subst
1744,retour,subst
1740,autrefois,adv
1736,genre,subst
1734,d'autres,pron
1733,vif,adj
1731,amener,verbe
1729,obliger,verbe
1725,acte,subst
1724,image,subst
1722,horizon,subst
1720,éclairer,verbe
1719,poursuivre,verbe
1717,danger,subst
1717,livrer,verbe
1716,rôle,subst
1711,escalier,subst
1708,goût,subst
1706,bête,subst
1706,ceci,pron
1705,recherche,subst
1704,membre,subst
1700,pain,subst
1697,phrase,subst
1696,contenir,verbe
1692,rire,subst
1688,fuir,verbe
1687,couler,verbe
1687,terme,subst
1680,eaux,subst
1679,moyen,adj
1678,police,subst
1678,rocher,subst
1676,proposer,verbe
1676,tranquille,adj
1675,unique,adj
1673,éprouver,verbe
1667,retenir,verbe
1667,type,subst
1656,vin,subst
1649,supérieur,adj
1645,attacher,verbe
1642,voler,verbe
1638,sec,adj
1636,justice,subst
1635,époque,subst
1635,passage,subst
1635,somme,subst
1634,science,subst
1633,surprendre,verbe
1626,côte,subst
1620,doucement,adv
1617,gauche,subst
1613,faute,subst
1612,école,subst
1603,bon,subst
1603,ensemble,subst
1602,rayon,subst
1601,briser,verbe
1598,sujet,subst
1596,imaginer,verbe
1593,diriger,verbe
1591,douze,numér
1680,en,adv
1587,l'une,pron
1585,dernier,subst
1582,avis,subst
1581,parvenir,verbe
1578,ouvert,adj
1574,pénétrer,verbe
1573,poète,subst
1571,meilleur,adj
1570,paysan,subst
1569,remarquer,verbe
1568,chair,subst
1568,éviter,verbe
1568,soudain,adv
1561,succès,subst
1558,île,subst
1556,établir,verbe
1553,réussir,verbe
1550,pencher,verbe
1547,habiter,verbe
1546,entourer,verbe
1544,déclarer,verbe
1544,détail,subst
1543,arme,subst
1543,réalité,subst
1539,confiance,subst
1539,masse,subst
1537,crise,subst
1535,étonner,verbe
1535,poste,subst
1528,dresser,verbe
1528,durer,verbe
1527,depuis,adv
1527,faux,adj
1527,fixer,verbe
1526,énorme,adj
1524,principe,subst
1517,direction,subst
1514,taille,subst
1512,désirer,verbe
1512,santé,subst
1511,ventre,subst
1508,marché,subst
1506,puissant,adj
1505,simplement,adv
1504,environ,adv
1504,tellement,adv
1503,arracher,verbe
1636,entraîner,verbe
1501,soutenir,verbe
1499,couper,verbe
1498,trou,subst
1497,inconnu,adj
1495,pont,subst
1494,lune,subst
1491,dehors,adv
1490,certes,adv
1489,beaux,adj
1489,robe,subst
1488,douter,verbe
1487,retirer,verbe
1486,cesse,subst
1485,brusquement,adv
1507,entrée,subst
1482,source,subst
1471,camarade,subst
1470,dent,subst
1470,quantà,prép
1469,connaissance,subst
1469,cou,subst
1466,but,subst
1460,promener,verbe
1460,vague,subst
1459,élément,subst
1457,fil,subst
1457,voie,subst
1453,nez,subst
1447,forcer,verbe
1446,particulier,adj
1443,discours,subst
1443,maladie,subst
1442,chaleur,subst
1440,gloire,subst
1438,vide,adj
1497,examiner,verbe
1436,revoir,verbe
1434,aide,subst
1432,début,subst
1432,ennemi,subst
1431,second,adj
1426,aile,subst
1426,flamme,subst
1422,chaise,subst
1422,lourd,adj
1422,sein,subst
1422,véritable,adj
1421,toit,subst
1420,remplir,verbe
1419,terminer,verbe
1419,vaste,adj
1418,nu,adj
1413,poussière,subst
1411,nord,subst
1397,tenter,verbe
1393,émotion,subst
1390,hors,prép
1390,un,numér
1389,remonter,verbe
1388,révolution,subst
1388,théâtre,subst
1386,armée,subst
1386,court,adj
1385,noir,subst
1384,appartement,subs
1384,semblable,adj
1383,installer,verbe
1382,haine,subst
1382,jeune,subst
1381,position,subst
1381,seconde,subst
1379,frais,adj
1378,appel,subst
1375,soulever,verbe
1475,espoir,subst
1373,allumer,verbe
1373,imposer,verbe
1372,avant,adv
1371,respirer,verbe
1370,arrière,subst
1370,baisser,verbe
1370,droite,subst
1370,poitrine,subst
1369,mort,adj
1368,jeunesse,subst
1367,bureau,subst
1367,sac,subst
1366,étranger,adj
1363,courage,subst
1363,souffler,verbe
1360,jaune,adj
1360,page,subst
1359,étranger,subst
1356,etc,adv
1353,miser,subst
1352,passé,subst
1351,rapide,adj
1350,digne,adj
1349,chaud,adj
1349,propos,subst
1348,attirer,verbe
1344,prêter,verbe
1336,clair,adj
1329,amuser,verbe
1327,occasion,subst
1325,voile,subst
1323,éclater,verbe
1322,importance,subst
1322,quartier,subst
1322,soi,pron
1318,auteur,subst
1316,religion,subst
1314,palais,subst
1314,réunir,verbe
1310,traiter,verbe
1309,flot,subst
1309,intelligence,subst
1307,tantôt,adv
1307,voisin,subst
1305,carte,subst
1301,secret,adj
1296,animal,subst
1293,été,subst
1293,traîner,verbe
1292,cabinet,subst
1292,morceau,subst
1290,employer,verbe
1287,capable,adj
1286,souffrance,subst
1285,marquer,verbe
1285,prouver,verbe
1284,importer,verbe
1284,titre,subst
1282,désert,subst
1280,facile,adj
1280,spectacle,subst
1279,exiger,verbe
1277,reposer,verbe
1276,départ,subst
1276,fier,adj
1275,danser,verbe
1268,demande,subst
1268,saluer,verbe
1267,lueur,subst
1266,joue,subst
1265,saint,adj
1264,accorder,verbe
1264,prière,subst
1262,achever,verbe
1262,avouer,verbe
1261,distinguer,verbe
1261,emmener,verbe
1260,fonction,subst
1256,durant,prép
1253,haut,adv
1251,aspect,subst
1251,sommeil,subst
1249,éclat,subst
1248,moitié,subst
1247,demi,adj
1246,calme,adj
1244,contraire,subst
1239,colline,subst
1238,agiter,verbe
1232,hésiter,verbe
1223,terrain,subst
1222,rare,adj
1221,poids,subst
1221,sonner,verbe
1219,changement,subst
1218,charge,subst
1218,davantage,adv
1217,composer,verbe
1215,enlever,verbe
1211,poche,subst
1210,rejoindre,verbe
1208,son,subst
1205,intérieur,adj
1204,veille,subst
1203,ramener,verbe
1200,fruit,subst
1199,complet,adj
1199,étudier,verbe
1198,partager,verbe
1192,croix,subst
1191,suivant,adj
1187,chasser,verbe
1186,interrompre,verb
1185,éloigner,verbe
1185,trésor,subst
1184,compagnie,subst
1181,étroit,adj
1180,cuisine,subst
1177,réduire,verbe
1309,engager,verbe
1175,égal,adj
1174,empire,subst
1170,nation,subst
1169,éteindre,verbe
1169,recommencer,verb
1169,sauter,verbe
1168,plaindre,verbe
1167,conversation,subst
1166,soirée,subst
1166,violent,adj
1164,impression,subst
1164,trait,subst
1163,devant,adv
1162,préférer,verbe
1162,révéler,verbe
1162,sien,pron
1156,magnifique,adj
1154,désespoir,subst
1153,témoin,subst
1152,visite,subst
1148,respect,subst
1142,solitude,subst
1140,subir,verbe
1136,delà,adv
1136,prochain,adj
1135,anglais,subst
1135,rapporter,verbe
1128,coûter,verbe
1128,réfléchir,verbe
1127,officier,subst
1127,remercier,verbe
1126,déposer,verbe
1125,fauteuil,subst
1124,fumer,verbe
1124,tôt,adv
1119,affirmer,verbe
1118,relation,subst
1117,fumée,subst
1116,convenir,verbe
1115,branche,subst
1115,malade,adj
1113,circonstance,subst
1113,ouvrage,subst
1108,compagnon,subst
1108,vêtir,verbe
1106,expérience,subst
1106,port,subst
1105,accomplir,verbe
1105,avec,adv
1103,résoudre,verbe
1100,plonger,verbe
1099,goutte,subst
1099,mien,pron
1098,chant,subst
1095,détruire,verbe
1087,combat,subst
1086,personnage,subst
1085,aventure,subst
1085,intéresser,verbe
1084,disposer,verbe
1081,absence,subst
1079,machine,subst
1078,aucun,pron
1078,grâce,prép
1077,chaîne,subst
1076,honte,subst
1075,fait,adj
1075,lisser,verbe
1072,faim,subst
1072,plaine,subst
1071,verser,verbe
1066,pointe,subst
1065,obéir,verbe
1065,preuve,subst
1063,éternel,adj
1062,lutter,verbe
1061,prétendre,verbe
1060,bataille,subst
1060,construire,verbe
1060,énergie,subst
1055,victime,subst
1053,sauvage,adj
1052,soumettre,verbe
1052,usage,subst
1050,peser,verbe
1046,double,adj
1045,tache,subst
1044,guère,adv
1043,hauteur,subst
1043,troubler,verbe
1039,tendre,adj
1037,beau,subst
1037,curiosité,subst
1032,répandre,verbe
1031,glace,subst
1031,résister,verbe
1027,froid,subst
1024,prison,subst
1023,étage,subst
1022,billet,subst
1022,droit,adj
1022,sérieux,adj
1021,protéger,verbe
1019,pauvre,subst
1019,rose,subst
1016,enfermer,verbe
1014,attitude,subst
1014,dur,adj
1012,mode,subst
1010,neuf,adj
1006,crainte,subst
1006,creuser,verbe
1006,grandir,verbe
1004,enfoncer,verbe
1003,vêtement,subst
1001,envelopper,verbe
1000,vague,adj
999,prévenir,verbe
998,violence,subst
996,inspirer,verbe
993,inutile,adj
992,content,adj
992,courant,subst
992,folie,subst
992,pitié,subst
988,intention,subst
988,ramasser,verbe
987,endormir,verbe
986,inventer,verbe
985,trace,subst
980,toile,subst
977,presser,verbe
976,confier,verbe
976,effacer,verbe
973,reculer,verbe
973,user,verbe
972,blanc,subst
971,nourrir,verbe
970,dangereux,adj
967,poésie,subst
962,sommet,subst
961,remplacer,verbe
960,souhaiter,verbe
956,avance,subst
955,autorité,subst
954,épais,adj
953,inquiétude,subst
952,choix,subst
951,tombe,subst
950,marchand,subst
949,nombreux,adj
948,muet,adj
947,signer,verbe
946,absolument,adv
944,cercle,subst
944,interroger,verbe
942,dominer,verbe
940,défaut,subst
938,enfance,subst
937,faveur,subst
937,réel,adj
934,commander,verbe
934,supposer,verbe
933,dépasser,verbe
930,sourd,adj
929,cruel,adj
928,dimanche,subst
928,erreur,subst
927,cerveau,subst
926,accuser,verbe
924,arrivée,subst
924,rapidement,adv
922,vol,subst
921,habiller,verbe
920,condamner,verbe
918,lors,adv
918,menacer,verbe
918,seuil,subst
916,écraser,verbe
915,perte,subst
914,troisième,adj
913,chance,subst
906,vieil,adj
905,même,pron
902,céder,verbe
901,douceur,subst
901,droite,adj
900,vide,subst
899,autrement,adv
899,drôle,adj
899,ruine,subst
898,écarter,verbe
898,rang,subst
897,réclamer,verbe
896,chiffre,subst
892,voisin,adj
890,militaire,adj
884,roche,subst
883,distance,subst
882,apparence,subst
881,dessiner,verbe
877,conclure,verbe
877,françois,subst
877,lier,verbe
876,discussion,subst
873,admettre,verbe
873,banc,subst
873,terreur,subst
872,attaquer,verbe
872,vers,subst
871,respecter,verbe
869,rose,adj
869,silencieux,adj
868,anglais,adj
868,course,subst
865,portier,subst
861,chat,subst
860,pendre,verbe
859,supporter,verbe
856,tempête,subst
855,parfaitement,adv
855,paysage,subst
855,quart,subst
853,figurer,verbe
851,profiter,verbe
847,accrocher,verbe
843,calmer,verbe
843,satisfaire,verbe
842,public,subst
838,race,subst
838,valoir,verbe
837,barbe,subst
836,signifier,verbe
835,couche,subst
834,inquiéter,verbe
833,colon,subst
833,désormais,adv
831,fidèle,adj
829,assister,verbe
829,rideau,subst
828,inviter,verbe
827,déchirer,verbe
824,fatigue,subst
824,risquer,verbe
823,règle,subst
822,gauche,adj
822,parcourir,verbe
822,présent,adj
821,rejeter,verbe
820,naissance,subst
818,loup,subst
816,renoncer,verbe
815,complètement,adv
814,extraordinaire,adj
810,veiller,verbe
806,transformer,verb
805,tracer,verbe
804,chute,subst
803,divers,adj
802,résistance,subst
801,contenter,verbe
800,chemise,subst
800,mince,adj
800,naturellement,adv
799,siège,subst
797,as,subst
797,patron,subst
796,calme,subst
795,mériter,verbe
795,printemps,subst
793,angoisse,subst
791,précipiter,verbe
791,rompre,verbe
788,habitant,subst
788,plein,prép
784,caresser,verbe
784,métier,subst
783,étouffer,verbe
782,animer,verbe
782,note,subst
781,passé,adj
779,fine,adj
779,fixe,adj
778,casser,verbe
777,fusil,subst
774,rond,adj
771,agent,subst
763,fonder,verbe
760,roman,subst
759,franchir,verbe
759,plante,subst
754,abattre,verbe
754,discuter,verbe
748,fatiguer,verbe
746,humide,adj
746,réflexion,subst
745,consentir,verbe
740,accent,subst
738,curieux,adj
735,repas,subst
731,étendue,subst
731,regretter,verbe
730,joindre,verbe
730,profondément,adv
729,secours,subst
728,commencement,subst
724,corde,subst
720,secrétaire,subst
720,vaincre,verbe
718,saison,subst
715,précieux,adj
714,précis,adj
712,consulter,verbe
709,haïr,verbe
701,repousser,verbe
700,paupière,subst
696,certainement,adv
695,tapis,subst
694,noire,adj
691,chasse,subst
690,exécuter,verbe
690,nerveux,adj
690,nul,dét
689,commun,adj
689,exposer,verbe
686,clef,subst
684,claire,adj
683,voyager,verbe
680,haute,adj
680,renverser,verbe
677,sueur,subst
676,âgé,adj
675,ferme,subst
675,rassurer,verbe
674,retomber,verbe
672,décrire,verbe
670,mentir,verbe
669,instinct,subst
667,armer,verbe
667,paquet,subst
666,drame,subst
664,absolu,adj
661,savoir,subst
660,mine,subst
660,vision,subst
659,étaler,verbe
658,sentier,subst
657,demain,subst
655,beau,adv
652,blond,adj
651,essuyer,verbe
650,planche,subst
650,précéder,verbe
649,dehors,subst
